stop_id,latitude,longitude,visit_count,avg_dwell_time,total_dwell_time,num_buses
132,13.006539061257682,80.24267040739564,4,84.5,338.0,3
135,13.023784894989834,80.2276781069657,4,37.5,150.0,3
8,12.988741312939252,80.22962405989304,4,372.0,1488.0,1
143,13.006505851846764,80.24333244786325,4,40.75,163.0,2
145,13.007497697920755,80.23669047478927,4,52.5,210.0,2
153,12.98005051896936,80.25252943808019,4,61.0,244.0,4
127,13.05326844375,80.23707485,4,33.0,132.0,3
159,13.003884009238096,80.25698469333334,4,54.75,219.0,2
161,13.027653033082707,80.23503885473684,4,65.75,263.0,3
79,13.046886216504125,80.24832630138587,4,39.75,159.0,3
48,13.046973551515151,80.248624,4,36.0,144.0,3
51,13.03543730967033,80.2480285207326,4,33.75,135.0,3
173,13.053179227054027,80.27169139021828,4,72.5,290.0,2
129,13.024695267261905,80.22926417142857,4,35.0,140.0,4
141,13.014977264756483,80.22461068086557,4,58.75,235.0,3
92,13.034829981978023,80.2456893257143,4,80.5,322.0,4
107,12.984208028205128,80.25249461333334,4,95.75,383.0,2
102,13.044576158383839,80.26722242424242,4,509.5,2038.0,3
101,13.050076732738095,80.23366058095237,4,59.5,238.0,3
28,12.98842333460834,80.23296365504687,4,336.25,1345.0,3
29,12.992144689711436,80.23048352632458,4,813.5,3254.0,3
26,12.990892951666666,80.22836584,4,272.25,1089.0,2
22,12.98664859919272,80.2359747217975,4,190.5,762.0,3
124,12.986840773945579,80.25864785487528,3,22016.666666666668,66050.0,2
155,13.05221628951049,80.24087466666667,3,55.666666666666664,167.0,2
156,13.006691976969698,80.24071045333334,3,48.333333333333336,145.0,2
157,13.006720317170538,80.24041405025734,3,190.66666666666666,572.0,2
158,12.990820782336181,80.25606547692307,3,63.666666666666664,191.0,1
21,12.989362022380426,80.23740315013447,3,859.6666666666666,2579.0,1
